Title,ISBN,Author,Book type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages
book not found,9780307762528,,,,,,,,
book not found,9780061763403,,,,,,,,
book not found,9781322117171,,,,,,,,
book not found,9781250316783,,,,,,,,
Across the Seas,9780463983096,Griff Hosker,917505,9.19,9.19,463983092,04-03-2019,Griff Hosker,
book not found,9780230739673,,,,,,,,
book not found,9780956308641,,,,,,,,
Familiar Stranger,9780241290002,Stuart Hall,917505,15.99,15.99,241290007,06-04-2017,Penguin Books Ltd,256
The Twits,9780141930169,"Roald Dahl, Quentin Blake",917505,9.99,9.99,141930160,06-09-2007,Penguin Random House Children's UK,112
American Royals,9780241365984,Katharine McGee,917505,9.99,9.99,241365988,01-09-2019,Penguin Random House Children's UK,368
Star Trek,9780743422277,Diane Duane,917505,5.99,5.99,743422279,03-12-2001,Pocket Books/Star Trek,256
The Screwtape Letters: Letters From A Senior To A Junior Devil,9780007461240,C. S. Lewis,917504,19.99,18.25,7461240,01-07-2012,HarperCollins Publishers,224
Magnus Chase and the Sword of Summer (Book 1),9780141342436,Rick Riordan,917505,9.99,9.99,141342439,06-10-2015,Penguin Random House Children's UK,528
The Lost (Paula Maguire 1),9780755386390,Claire McGowan,917505,11.99,11.99,755386396,11-04-2013,Headline,305
Angels,9780141928685,Marian Keyes,917505,15.99,15.99,141928689,31-03-2005,Penguin Books Ltd,496
Boy,9780141903125,"Roald Dahl, Quentin Blake",917505,9.99,9.99,141903120,04-09-2008,Penguin Random House Children's UK,192
The Great Hunt,9780748115358,Robert Jordan,917505,11.99,11.99,748115358,17-11-2009,"Little, Brown Book Group",736
book not found,9781310869686,,,,,,,,
Jamie's Food Tube,9781405921107,Gennaro Contaldo,917505,14.99,14.99,1405921102,02-07-2015,Penguin Books Ltd,128
Darkfever,9780440336358,Karen Marie Moning,917505,14.66,11.99,044033635X,31-10-2006,Random House Publishing Group,
The Name of the Wind,9780575087057,Patrick Rothfuss,917505,12.99,12.99,575087056,22-04-2010,Orion,672
book not found,9780330469364,,,,,,,,
The Night Stalker,9780857202994,Chris Carter,917505,12.99,12.99,857202995,18-08-2011,Simon & Schuster UK,464
The Jury Master,9780446539654,Robert Dugoni,917505,17.99,17.99,446539651,15-07-2008,Grand Central Publishing,300
The Book of Why,9780241242643,"Judea Pearl, Dana Mackenzie",917505,16.99,16.99,241242649,15-05-2018,Penguin Books Ltd,400
Blow Fly,9780748109265,Patricia Cornwell,917505,11.99,11.99,748109269,04-09-2008,"Little, Brown Book Group",544
Couples That Work,9780241379011,Jennifer Petriglieri,917505,18.99,18.99,241379016,10-10-2019,Penguin Books Ltd,304
The Sapphire Widow,9780241980750,Dinah Jefferies,917505,15.99,15.99,241980755,05-04-2018,Penguin Books Ltd,400
Time of Contempt,9780575088436,"Andrzej Sapkowski, David French",917505,12.99,12.99,575088435,24-06-2013,Orion,320
The Eagle's Conquest (Eagles of the Empire 2),9780755350841,Simon Scarrow,917505,12.99,12.99,755350847,04-09-2008,Headline,448
A Maiden's Grave,9781101209356,Jeffery Deaver,917505,14.66,11.99,1101209356,01-01-2000,Penguin Publishing Group,
The Divine Comedy,9781101117996,"Dante Alighieri, John Ciardi",917505,25.70,20.99,1101117990,27-05-2003,Penguin Publishing Group,928
Business Model Generation,9780470901038,Alexander Osterwalder,917505,45.09,45.09,470901039,23-07-2010,Wiley Professional Development (P&T),288
No One Left To Tell (The Baltimore Series Book 2),9780755373970,Karen Rose,917505,11.99,11.99,755373979,05-01-2012,Headline,451
The Snow Child,9780755380558,Eowyn Ivey,917505,12.99,12.99,075538055X,01-02-2012,Headline,318
The Hunger Games (USA Edition),9780439023481,Suzanne Collins,917504,40.95,40.95,439023483,01-10-2008,Scholastic US,384
Made Things,9781250232984,Adrian Tchaikovsky,917505,6.22,5.99,1250232988,05-11-2019,Tor Publishing Group,
book not found,9780230225916,,,,,,,,
book not found,9780804141116,,,,,,,,
Conversations with Friends,9780571333141,Sally Rooney,917505,16.49,14.99,571333141,25-05-2017,Faber & Faber,272
Percy Jackson and the Sea of Monsters (Book 2),9780141926902,Rick Riordan,917505,12.99,12.99,141926902,01-05-2008,Penguin Random House Children's UK,288
book not found,9781471144011,,,,,,,,
Strata,9781407035536,Terry Pratchett,917505,14.99,14.99,1407035533,24-11-2009,Transworld,288
Misbehaving,9780141966151,Richard H. Thaler,917505,16.99,16.99,141966157,07-05-2015,Penguin Books Ltd,256
My East End,9780141929385,Gilda O'Neill,917505,15.99,15.99,141929383,28-09-2000,Penguin Books Ltd,384
book not found,9781328527905,,,,,,,,
book not found,9780547928517,,,,,,,,
The Promise,9780141964089,Lesley Pearse,917505,15.99,15.99,141964081,19-01-2012,Penguin Books Ltd,528
Artemis Fowl and The Arctic Incident,9780141929576,Eoin Colfer,917505,9.99,9.99,014192957X,06-06-2002,Penguin Random House Children's UK,336
23 Things They Don't Tell You About Capitalism,9780141957869,Ha-Joon Chang,917505,15.99,15.99,141957867,02-09-2010,Penguin Books Ltd,304
Excalibur,9780141929743,Bernard Cornwell,917505,15.99,15.99,014192974X,01-11-2007,Penguin Books Ltd,496
Myers+Chang at Home,9780544836730,"Joanne Chang, Karen Akunowicz",917505,46.19,36.99,544836731,19-03-2024,HarperCollins,320
book not found,9781365501210,,,,,,,,
Mastering Color Knitting,9780307965493,Melissa Leapman,917505,15.42,12.99,030796549X,13-07-2011,Clarkson Potter/Ten Speed,
How I Became The Fittest Woman On Earth,9780646987286,Tia-Clair Toomey,917505,17.59,16.99,646987283,22-01-2018,BL SOUTHWICK PUBLISHING PTY LTD,202
